name	x	y	z
LF1bIb6	39.3563	-13.833	16.6164
LF1bIb7	38.7772	-14.538	15.7848
LF1bIb8	48.4777	17.909	21.6574
LF1bIb9	48.9356	18.802	21.1818
LF1bIb10	46.9959	25.186	19.5641
LF1bIb11	48.7351	25.359	18.7816
LF1bIb12	47.4705	29.409	17.4135
LF1bIb13	46.8305	31.088	16.7652
LF1bIb14	42.6977	46.907	1.4557
LF1bIb15	42.6821	46.405	2.3176
LF1bIb16	45.5447	44.519	3.2223
LF1cCb1	30.9457	27.174	3.6705
LF1cCb2	30.9457	27.174	3.6705
LF1cCb3	30.8768	41.273	0.8637
LF1cCb4	26.3111	42.378	0.6268
LF1cCb5	29.9817	46.086	0.6065
LF1cCb6	30.6068	49.834	0.4119
LF1cCb7	28.2191	53.198	0.1562
LF1cCb8	28.6114	64.772	1.6942
LF1cCb9	25.2757	65.773	2.3495
LF1cCb10	23.8252	66.116	3.0655
LF1cCb11	22.3514	66.39	3.7608
RF3aOFa1	91.3665	-43.778	2.2201
RF3aOFa2	92.1267	-43.463	1.8566
RF3aOFa3	88.9587	-44.649	3.2623
RF3aOFa4	84.1414	-45.342	5.7903
RF3aOFa5	84.1414	-45.342	5.7903
RF3aOFa6	84.1414	-45.342	5.7903
RF3aOFa7	84.1414	-45.342	5.7903
RF3aOFa8	76.7221	-35.087	3.924
RF3aOFa9	75.6569	-35.25	4.1047
RF3aOFa10	75.6569	-35.25	4.1047
RF3aOFa11	63.8769	-35.984	5.8902
RF3aOFa12	63.8769	-35.984	5.8902
RF3aOFa13	63.8769	-35.984	5.8902
RF3aOFa14	63.8769	-35.984	5.8902
RF3aOFa15	63.8769	-35.984	5.8902
RF3aOFa16	62.723	-36.067	6.0163
RF3bOFb1	69.8069	-46.324	9.3717
RF3bOFb2	58.9591	-46.416	0.2347
RF3bOFb3	54.3827	-45.664	1.0067
RF3bOFb4	62.1435	-36.608	5.9238
RF3bOFb5	59.8165	-36.737	6.1482
RF3bOFb6	60.981	-36.676	6.0391
RF3bOFb7	59.8165	-36.737	6.1482
RF3bOFb8	46.5451	-38.579	6.0514
RF3bOFb9	46.5451	-38.579	6.0514
RF3bOFb10	46.5451	-38.579	6.0514
RF3bOFb11	46.5451	-38.579	6.0514
RF3bOFb12	39.1818	-14.07	0.9515
RF3bOFb13	38.1698	-13.666	1.0235
RF3bOFb14	38.1698	-13.666	1.0235
RF3bOFb15	37.2662	-12.54	1.1061
RF3bOFb16	37.2662	-12.54	1.1061
RF2I*1	42.428	-39.665	2.459
RF2I*2	45.5892	-37.1	1.7343
RF2I*3	41.1878	-31.322	2.9511
RF2I*4	41.9173	-28.152	2.8244
RF2I*5	44.0099	-25.998	2.8349
RF2I*6	49.4049	-17.836	6.4292
RF2I*7	47.8454	-18.47	5.5567
RF2I*8	71.9688	0.906	0.2286
RF2I*9	73.6906	2.567	8.828
RF2I*10	88.1796	9.282	0.8663
RF2I*11	87.9036	9.917	0.6624
RF2I*12	87.922	10.678	0.9761
RF2I*13	85.8242	15.412	0.1655
RF2I*14	83.028	23.412	4.0364
RF2I*15	83.3274	22.535	3.367
RF2I*16	84.0352	22.06	3.7249
RF1aCaOF1	60.5995	-48.076	29.5197
RF1aCaOF2	65.2461	-45.628	31.3378
RF1aCaOF3	71.3055	-33.653	34.6391
RF1aCaOF4	74.5531	-32.686	34.2449
RF1aCaOF5	79.2007	-27.476	33.792
RF1aCaOF6	72.9837	-16.531	34.9904
RF1aCaOF7	88.3518	-20.052	31.799
RF1aCaOF8	75.4348	-8.984	33.9754
RF1aCaOF9	73.65	-2.32	33.6216
RF1aCaOF10	88.817	-0.658	30.5119
RF1aCaOF11	84.5294	13.474	30.0487
RF1aCaOF12	87.664	17.924	28.6491
RF1aCaOF13	88.2388	18.537	28.3113
RF1aCaOF14	84.6023	24.067	28.3133
RF1aCaOF15	89.4993	25.644	22.8938
RF1aCaOF16	90.6575	23.694	23.7764
RF1bCb1	40.1062	16.012	36.2071
RF1bCb2	39.494	19.562	35.2439
RF1bCb3	39.9331	20.477	34.9104
RF1bCb4	39.1145	27.312	33.0829
RF1bCb5	51.5192	39.711	30.8378
RF1bCb6	49.8276	39.911	30.8964
RF1bCb7	50.0681	39.281	30.9389
RF1bCb8	60.7826	48.715	15.7677
RF1bCb9	60.4815	49.317	16.6568
RF1bCb10	62.6237	49.052	19.4334
RF1bCb11	62.1544	49.64	21.455
RF1bCb12	60.3126	50.743	21.5804
